2015-04-30 17:53:17,937'INFO:Set logger---
2015-04-30 17:53:17,941'INFO:binding_blocks:clean: Complete
2015-04-30 17:53:17,941'INFO:binding_blocks:consolidate:Entered
2015-04-30 17:53:17,947'INFO:building_blocks : consolidated
2015-04-30 17:53:17,948'CRITICAL:binding_blocks:writetofile:WROTE FILE to hererhere.asm
2015-04-30 17:53:17,948'INFO:build_dep:alp=0
2015-04-30 17:53:17,948'INFO:building_blocks:getblock:got  0 as block_num
2015-04-30 17:53:17,953'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    STR R7, R0, fivespd

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    LDR R1, R0, ZERO

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    LDR R2, R0, ZERO

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    LDR R3, R0, D22D

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    LDR R4, R0, LIFE

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    LDR R5, R0, FOED

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    LDR R6, R0, DEEB

2015-04-30 17:53:17,953'INFO:build_dep:Returned:    LDR R7, R0, LEAF

2015-04-30 17:53:17,953'INFO:analyzing block 0
2015-04-30 17:53:17,954'INFO:	No optimizations possible in block 0
2015-04-30 17:53:17,954'INFO:build_dep:alp=1
2015-04-30 17:53:17,954'INFO:building_blocks:getblock:got  1 as block_num
2015-04-30 17:53:17,954'INFO:binding_blocks:getblock: Returned data request for 1
2015-04-30 17:53:17,954'INFO:build_dep:Returned:    LDR R1, R0, BOMB

2015-04-30 17:53:17,954'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,954'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,954'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,954'INFO:build_dep:Returned:    LEA R2, HOWHIGH

2015-04-30 17:53:17,954'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,954'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,954'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,954'INFO:build_dep:Returned:    JMP R2

2015-04-30 17:53:17,954'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,954'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,955'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,955'INFO:build_dep:Returned:    LDR R1, R0, GOOF

2015-04-30 17:53:17,955'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,955'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,955'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,955'INFO:analyzing block 1
2015-04-30 17:53:17,955'INFO:build_dep:alp=2
2015-04-30 17:53:17,955'INFO:building_blocks:getblock:got  2 as block_num
2015-04-30 17:53:17,955'INFO:binding_blocks:getblock: Returned data request for 2
2015-04-30 17:53:17,956'INFO:build_dep:Returned:    STR R1, R0, dunk

2015-04-30 17:53:17,956'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,956'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,956'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,956'INFO:build_dep:Returned:    LDR R2, R0, DEEB

2015-04-30 17:53:17,956'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,956'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,956'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,956'INFO:build_dep:Returned:    STR R2, R0, SPOT1

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    LDR R3, R0, FOED

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    LDR R4, R0, LEAF

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    STR R3, R0, SPOT2

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    STR R4, R0, SPOT3

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    LDR R5, R0, GOOD

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    STR R5, R0, SPOT4

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    LDR R5, R0, SPOT1

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    LDR R4, R0, SPOT2

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    LDR R3, R0, SPOT3

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    LDR R2, R0, SPOT4

2015-04-30 17:53:17,957'INFO:build_dep:Returned:    STR R5, R0, SPOT4

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    STR R4, R0, SPOT4

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    STR R3, R0, SPOT4

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    STR R2, R0, SPOT4

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    ADD R2, R2, R3

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    ADD R3, R4, R5

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    ADD R2, R2, R3

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,958'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    ADD R3, R0,1

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    STB R6, R3, ZOOP

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    LDR R4, R0, ZOOP

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    STB R7, R0, BEAD

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    LDR R3, R0, BEAD

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    STR R3, R0, chew

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    STR R4, R0, chew

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    ADD R3, R3, R4

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    LDR R4, R0, ZERO

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    JSR MUDDLE

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    STR R4, R0, MUDPIE

2015-04-30 17:53:17,959'INFO:build_dep:Returned:    LEA R5, MUDDLER

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    JSRR R5

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    STR R5, R0, MUDPIE

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    ADD R6, R0, 1

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    LDB R6, R6, COOKIE

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    LDB R7, R0, COOKIE

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    STR R6, R0, crumb

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    STR R7, R0, crumb

2015-04-30 17:53:17,960'INFO:build_dep:Returned:    NOP

